Name,Genre
god is good,country
white girl,country
the man comes around ,country
what this world needs is a few rednecks ,country
im a rambling man ,country
the highway men ,country
yeah!,hip-hop
happy,hip-hop
im still standing,hip-hop
best day of my life,hip-hop
count on me,hip-hop
carnival,hip-hop
hell n back,hip-hop
roar,hip-hop
dawning,hip-hop
meet the grahams,hip-hop
snooze,hip-hop
good feelings,hip-hop
if we being real,hip-hop
drive me crazy!,hip-hop
the real slim shady,hip-hop
without me,hip-hop
fein ,hip-hop
family ties ,hip-hop
ghost town ,hip-hop
could you be loved,hip-hop
misty,jazz
iguana ,jazz
erika,jazz
truth or dare,pop
glimpse of us,pop
pompeii,pop
work song ,pop
babydoll,pop
skibidi,pop
art deco,pop
unwritten,pop
strings and attractors ,pop
mercury ,pop
banana man,pop
crying lightning,pop
ill be there,pop
classic,pop
sos,pop
lovers rock,pop
counting stars,pop
anna sun,pop
last friday night,pop
million dollar baby,pop
a sky full of stars,pop
marry you,pop
pato and roger a go talk,pop
toxic,pop
aok,pop
out of touch,pop
pretty shining people,pop
shut up and dance,pop
angel with a shotgun,pop
titanium,pop
wannabe,pop
geronimo,pop
wake me up,pop
everybody wants to rule the world,pop
pink+white,pop
lalala,pop
im a believer,pop
normal girl,r&b
for certain,r&b
problem,r&b
love,r&b
couldve been,r&b
hey daddy,r&b
pocketful of sunshine,r&b
say my name,r&b
waterfalls,r&b
nobody move nobody get hurt,r&b
hey ya!,r&b
one step closer,rock
when you sleep,rock
fake plastic trees,rock
dagger,rock
buddy holly,rock
control,rock
atone,rock
brother,rock
november rain,rock
dont stop believin,rock
please,rock
seasons,rock
decadence,rock
for the workforce drowning,rock
comfortably numb,rock
laughing in the sugar bowl,rock
rocket queen,rock
upside down,rock
summer of 69,rock
no more tears,rock
blow me away,rock
sunglasses at night,rock
enter sandman,rock
harlem,rock
pour some sugar on me,rock
i want to be cold,rock
i just died in your arms tonight,rock
look after you ,rock
rhiannon ,rock
burning love ,rock
